Fine Food Establishment,Taste,Variety,Cost,Distance,Customer Service,Total Score,Coords
Bon Bon's,3,3.3,4.3,3.3,1.8,15.5,"52.48273169992917, -1.9020284926661006"
Dominiques,4,4,3,2.5,5,18.5,"52.48286778726721, -1.9044728682869327"
Habanero's,3.5,2.5,3,4.5,3,16.5,"52.48207049029979, -1.897342827417654"
Anderson & Hill,2.5,2.8,3,4.5,2,14.8,"52.48197966475146, -1.8972852235131676"
Greggs,3,3,4.5,4.8,1.8,17,"52.481947811596264, -1.8974394505241954"
German Donner,1.5,1,2,2,2.5,9,"52.481250796440456, -1.8958888661358317"
Zambrero,3.8,2.8,2.8,4.8,3,17,"52.48195955928589, -1.8988336316244403"
Bundobust,4.3,3.8,1.5,2.8,3.3,15.5,"52.480687395623285, -1.9005874865450023"
Little Bao Boy,4.7,3,1.3,4,2,15,"52.48370661066794, -1.8979083389228544"
La Vera,3.3,3.3,3,2.7,3,15.3,"52.48025518454658, -1.8952866028649564"
Montys,3,4,3,3,3,16,"52.48216829327067, -1.8968971986472847"
